scenario,scenario_label,method,capture,lift,brier,oracle_regret,membership_error,lift_sd
burden_damage_divergence,Burden-damage divergence,Laplace cell,0.10869577506020535,2.1689882413913053,0.05595848370256187,0.07746745260591582,,0.6375398073418599
noisy_child_parent_stable,"Noisy child, stable parent",Lower credible bound,0.07709780514623854,1.5388561276116166,0.008818390542930257,0.04479783810472321,,0.22121519815952118
noisy_child_parent_stable,"Noisy child, stable parent",Membership top-k,0.06877074030070875,1.3725340668272292,0.010832947796823362,0.04627222850198187,0.013395992885411621,0.4373817198732908
noisy_child_parent_stable,"Noisy child, stable parent",Upper credible bound,0.0663294997158046,1.3239106070528202,0.031004714254714905,0.043911653143728746,,0.20851189782665863
noisy_child_parent_stable,"Noisy child, stable parent",Boundary-product top-k,0.06588731291952278,1.3149997741934971,0.017199057854117992,0.046627977829292476,0.013395992885411621,0.4199464531066453
noisy_child_parent_stable,"Noisy child, stable parent",Hierarchical shrinkage,0.06412103043260985,1.2796930482825357,0.006402543248524454,0.04864673173169839,0.013395992885411621,0.46634612295834943
noisy_child_parent_stable,"Noisy child, stable parent",Thompson top-k,0.06262163869668436,1.2497672897037455,0.014778280177561673,0.06047856507730823,,0.5551890399878935
noisy_child_parent_stable,"Noisy child, stable parent",Direct cell,0.06228978761058171,1.243337484221911,0.045692049546727315,0.0500801882390119,,0.1963868665757496
noisy_child_parent_stable,"Noisy child, stable parent",Parent cell,0.05681064793455392,1.1339883881269601,0.005718465875818475,0.05936513393673548,,0.44733441872566704
noisy_child_parent_stable,"Noisy child, stable parent",Laplace cell,0.05463921276075875,1.0907769740768722,0.07134815841855574,0.058329766727160635,,0.21815426828580686
parent_child_signal,Parent-child signal,Upper credible bound,0.14666823869982892,2.9234189384452205,0.02835594522789699,0.0624171516191997,,0.3894140158683784
parent_child_signal,Parent-child signal,Hierarchical shrinkage,0.14172436766879573,2.824899485314331,0.011076207105097888,0.057185420174031006,0.011435479212604618,0.20718333061284677
parent_child_signal,Parent-child signal,Lower credible bound,0.13670149008963725,2.7247851563261842,0.01815937857566397,0.05662949145068039,,0.28229340932433494
parent_child_signal,Parent-child signal,Membership top-k,0.13526205364297864,2.6961463065984237,0.019659265594451688,0.06447244596132551,0.011435479212604618,0.24043727313392324
parent_child_signal,Parent-child signal,Boundary-product top-k,0.1340875196962167,2.6727917798342635,0.03675512914771046,0.06640347865467687,0.011435479212604618,0.16631328955287475
parent_child_signal,Parent-child signal,Parent cell,0.1146520051996655,2.2853128375418383,0.012981873258564128,0.09111128362553243,,0.5470971573883797
parent_child_signal,Parent-child signal,Thompson top-k,0.1134210647419085,2.260537308858954,0.01813530314542193,0.09516066156928964,,0.6023111386137788
parent_child_signal,Parent-child signal,Direct cell,0.11168771130785826,2.2263117013921137,0.039842479879467124,0.09209664674519559,,0.5520105698740788
parent_child_signal,Parent-child signal,Laplace cell,0.11042883171069974,2.2012420134144137,0.05443249751031102,0.09370978375279848,,0.591269044982369
rare_high_risk,Rare high-risk cells,Direct cell,0.14997393816401844,2.9867197083831685,0.041952659158585835,0.05722789842807539,,0.5001636434263537
rare_high_risk,Rare high-risk cells,Laplace cell,0.14997393816401844,2.9867197083831685,0.06577356529382584,0.05722789842807539,,0.5001636434263537
rare_high_risk,Rare high-risk cells,Lower credible bound,0.14391334881148293,2.86576569270419,0.022855520384083925,0.05721742592889787,,0.7479791914862296
rare_high_risk,Rare high-risk cells,Hierarchical shrinkage,0.14269943599123178,2.8414076182485553,0.01694002376111373,0.05859696320613126,0.008983982240967081,0.8369964014183592
rare_high_risk,Rare high-risk cells,Membership top-k,0.13858383715969264,2.759402350227757,0.031195862512982595,0.06594264099380204,0.008983982240967081,0.9317271616378445
rare_high_risk,Rare high-risk cells,Boundary-product top-k,0.13838666723878038,2.75552897524013,0.04635630396416435,0.06400798845049928,0.008983982240967081,0.9047688577629313
rare_high_risk,Rare high-risk cells,Upper credible bound,0.13316856074154393,2.651541407961045,0.04145319639090089,0.06680257186198184,,1.03799932774048
rare_high_risk,Rare high-risk cells,Parent cell,0.11820812189906642,2.3538164603111067,0.020317292887012676,0.08844200777422569,,1.2876340469865952
rare_high_risk,Rare high-risk cells,Thompson top-k,0.1094493388074848,2.1800104724222424,0.026327841609582358,0.09926228010166617,,0.9880994579073435
