rep,alpha,draws,group,cells,damage_rate,median_support,median_boundary_excess
31,10.0,500,Unstable,24,0.1956521739130435,2.0,0.0376365478140106
32,10.0,500,High certificate,1,0.5333333333333333,10.0,0.16913427244790538
32,10.0,500,Boundary,1,0.75,8.0,0.06554716404500206
32,10.0,500,Unstable,25,0.38010204081632654,3.0,0.02158867541341394
33,10.0,500,High certificate,0,,,
33,10.0,500,Boundary,7,0.5620437956204379,5.0,0.06276848329050526
33,10.0,500,Unstable,20,0.3488372093023256,1.0,0.03020217397762521
34,10.0,500,High certificate,0,,,
34,10.0,500,Boundary,10,0.6142857142857143,5.0,0.07618943403636558
34,10.0,500,Unstable,17,0.4369747899159664,2.0,0.03507506920385701
35,10.0,500,High certificate,1,0.2631578947368421,13.0,0.1972106525268082
35,10.0,500,Boundary,5,0.5128205128205128,4.0,0.06092927747591369
35,10.0,500,Unstable,21,0.3285024154589372,3.0,0.023937321482954604
36,10.0,500,High certificate,0,,,
36,10.0,500,Boundary,2,0.30303030303030304,4.0,0.06895483400707694
36,10.0,500,Unstable,25,0.3405275779376499,3.0,0.02130113906270521
37,10.0,500,High certificate,0,,,
37,10.0,500,Boundary,4,0.46153846153846156,11.0,0.08888841044850407
37,10.0,500,Unstable,23,0.3090909090909091,1.0,0.030015508336117207
38,10.0,500,High certificate,0,,,
38,10.0,500,Boundary,3,0.33962264150943394,6.0,0.1487895724485022
38,10.0,500,Unstable,24,0.25384615384615383,2.0,0.022733049675994165
39,10.0,500,High certificate,0,,,
39,10.0,500,Boundary,7,0.46218487394957986,4.0,0.05713956808695921
39,10.0,500,Unstable,20,0.33762057877813506,2.5,0.028552855010776597
40,10.0,500,High certificate,0,,,
40,10.0,500,Boundary,5,0.48,5.0,0.09469647040539421
40,10.0,500,Unstable,22,0.3073286052009456,2.0,0.031267354189090456
41,10.0,500,High certificate,0,,,
41,10.0,500,Boundary,1,0.10526315789473684,4.0,0.07545334779055621
41,10.0,500,Unstable,26,0.25770308123249297,3.0,0.023876067234894452
42,10.0,500,High certificate,0,,,
42,10.0,500,Boundary,2,0.54,13.5,0.07263125019534324
42,10.0,500,Unstable,25,0.3591549295774648,2.0,0.02298731058986115
43,10.0,500,High certificate,0,,,
43,10.0,500,Boundary,4,0.4520547945205479,10.5,0.10884744678274293
43,10.0,500,Unstable,23,0.3865336658354115,2.0,0.02948456188332348
44,10.0,500,High certificate,0,,,
44,10.0,500,Boundary,4,0.5308641975308642,8.0,0.059339736516404853
44,10.0,500,Unstable,23,0.36363636363636365,2.0,0.028212192888269455
45,10.0,500,High certificate,0,,,
45,10.0,500,Boundary,9,0.5534883720930233,4.0,0.08677068240550997
45,10.0,500,Unstable,18,0.4208955223880597,1.0,0.03407163278881011
46,10.0,500,High certificate,0,,,
46,10.0,500,Boundary,3,0.375,4.0,0.09259354934688484
46,10.0,500,Unstable,24,0.2210796915167095,2.0,0.025387854395972805
47,10.0,500,High certificate,0,,,
47,10.0,500,Boundary,14,0.6926952141057935,1.0,0.1003043223139995
47,10.0,500,Unstable,13,0.5135135135135135,2.0,0.01984485366607966
48,10.0,500,High certificate,0,,,
48,10.0,500,Boundary,6,0.5703703703703704,6.5,0.06169302315378892
48,10.0,500,Unstable,21,0.5080831408775982,2.0,0.024981247013652296
49,10.0,500,High certificate,0,,,
49,10.0,500,Boundary,3,0.6764705882352942,2.0,0.07758285054206679
49,10.0,500,Unstable,24,0.4435146443514644,2.0,0.0387894392086935
50,10.0,500,High certificate,0,,,
50,10.0,500,Boundary,5,0.6530612244897959,4.0,0.07233065005927537
50,10.0,500,Unstable,22,0.35634743875278396,1.0,0.040591456721935606
51,10.0,500,High certificate,1,0.7931034482758621,13.0,0.18934331976299165
51,10.0,500,Boundary,3,0.8125,6.0,0.06576720172720571
51,10.0,500,Unstable,23,0.4574468085106383,1.0,0.042279633031525626
52,10.0,500,High certificate,0,,,
52,10.0,500,Boundary,6,0.5730337078651685,5.0,0.0660666514980592
52,10.0,500,Unstable,21,0.23624595469255663,2.0,0.033920542359176103
53,10.0,500,High certificate,1,0.6190476190476191,14.0,0.27451385127943706
53,10.0,500,Boundary,12,0.45701357466063347,2.0,0.08740568115315517
53,10.0,500,Unstable,14,0.35537190082644626,4.0,0.032054587645348194
54,10.0,500,High certificate,1,0.9545454545454546,9.0,0.23725763353715118
54,10.0,500,Boundary,1,0.35294117647058826,2.0,0.0698256143465301
54,10.0,500,Unstable,25,0.26570048309178745,4.0,0.02396296860189521
55,10.0,500,High certificate,0,,,
55,10.0,500,Boundary,1,0.26666666666666666,9.0,0.04514576361963899
55,10.0,500,Unstable,26,0.31777777777777777,3.5,0.02620246227918993
56,10.0,500,High certificate,0,,,
56,10.0,500,Boundary,11,0.34183673469387754,3.0,0.08138451759859279
56,10.0,500,Unstable,16,0.32342007434944237,2.0,0.033893914150129725
57,10.0,500,High certificate,0,,,
57,10.0,500,Boundary,4,0.5,6.0,0.06800779034111021
57,10.0,500,Unstable,23,0.32887700534759357,4.0,0.03044004388202314
58,10.0,500,High certificate,0,,,
58,10.0,500,Boundary,14,0.6753246753246753,2.5,0.07279269853911362
58,10.0,500,Unstable,13,0.4359861591695502,4.0,0.02894576282897675
59,10.0,500,High certificate,0,,,
59,10.0,500,Boundary,5,0.5,6.0,0.05460453288235249
59,10.0,500,Unstable,22,0.427536231884058,2.0,0.030418367040246117
60,10.0,500,High certificate,0,,,
60,10.0,500,Boundary,5,0.38372093023255816,4.0,0.06708863821573208
60,10.0,500,Unstable,22,0.21467391304347827,1.5,0.03324841912777379
61,10.0,500,High certificate,0,,,
61,10.0,500,Boundary,3,0.34782608695652173,5.0,0.0630081236052043
61,10.0,500,Unstable,24,0.32887700534759357,3.0,0.025658945669990912
62,10.0,500,High certificate,0,,,
62,10.0,500,Boundary,12,0.6394557823129252,2.0,0.091584419113725
62,10.0,500,Unstable,15,0.47115384615384615,2.0,0.027160782082997628
63,10.0,500,High certificate,1,0.9523809523809523,18.0,0.3159567579601008
63,10.0,500,Boundary,8,0.3937007874015748,5.0,0.06897997684979634
63,10.0,500,Unstable,18,0.2920634920634921,2.0,0.045121743385173774
64,10.0,500,High certificate,0,,,
64,10.0,500,Boundary,7,0.562962962962963,3.0,0.07440615778382302
64,10.0,500,Unstable,20,0.41451990632318503,1.0,0.03643972168931858
65,10.0,500,High certificate,0,,,
65,10.0,500,Boundary,8,0.635036496350365,2.0,0.08059701380137987
65,10.0,500,Unstable,19,0.28690807799442897,2.0,0.03695467702654136
66,10.0,500,High certificate,0,,,
66,10.0,500,Boundary,6,0.6587301587301587,4.5,0.07992021685289005
66,10.0,500,Unstable,21,0.44038929440389296,1.0,0.03619238918369695
67,10.0,500,High certificate,1,0.7058823529411765,18.0,0.22871672305116547
67,10.0,500,Boundary,6,0.48412698412698413,3.5,0.07931256810261517
67,10.0,500,Unstable,20,0.37066666666666664,2.0,0.034006646965255516
68,10.0,500,High certificate,0,,,
68,10.0,500,Boundary,15,0.5029239766081871,2.0,0.07507338488201869
68,10.0,500,Unstable,12,0.43162393162393164,2.0,0.0325424270901362
69,10.0,500,High certificate,0,,,
69,10.0,500,Boundary,7,0.45454545454545453,4.0,0.10747050551928763
69,10.0,500,Unstable,20,0.3836477987421384,2.0,0.03423286757318661
70,10.0,500,High certificate,0,,,
70,10.0,500,Boundary,4,0.6857142857142857,2.5,0.07749556912912825
70,10.0,500,Unstable,23,0.3612565445026178,2.0,0.0335712764659149
71,10.0,500,High certificate,1,0.8947368421052632,5.0,0.20489359199617313
71,10.0,500,Boundary,12,0.3964757709251101,1.5,0.09939829776796354
71,10.0,500,Unstable,14,0.2204724409448819,1.0,0.039140766372374215
72,10.0,500,High certificate,0,,,
72,10.0,500,Boundary,7,0.4628099173553719,5.0,0.06774545139339298
72,10.0,500,Unstable,20,0.30844155844155846,3.0,0.03500778024875107
73,10.0,500,High certificate,2,0.7222222222222222,9.5,0.20849101765531963
73,10.0,500,Boundary,13,0.44126984126984126,2.0,0.11007041523683393
73,10.0,500,Unstable,12,0.37320574162679426,4.0,0.01366419286642074
74,10.0,500,High certificate,0,,,
74,10.0,500,Boundary,9,0.47767857142857145,2.0,0.08036680141889124
74,10.0,500,Unstable,18,0.36627906976744184,3.0,0.02891899610146952
75,10.0,500,High certificate,2,0.7,9.5,0.21245220279514426
75,10.0,500,Boundary,11,0.44206008583690987,1.0,0.09588658583286738
75,10.0,500,Unstable,14,0.40229885057471265,2.5,0.024943977895702938
76,10.0,500,High certificate,0,,,
76,10.0,500,Boundary,2,0.17391304347826086,3.0,0.06896024851910246
76,10.0,500,Unstable,25,0.23482849604221637,4.0,0.025658166936114165
77,10.0,500,High certificate,0,,,
77,10.0,500,Boundary,5,0.45161290322580644,7.0,0.0733349430941743
77,10.0,500,Unstable,22,0.3567251461988304,2.0,0.031099453084392194
78,10.0,500,High certificate,1,0.24,13.0,0.19219804941409438
78,10.0,500,Boundary,5,0.4782608695652174,5.0,0.0613170564605332
78,10.0,500,Unstable,21,0.35883905013192613,3.0,0.038195357956755945
79,10.0,500,High certificate,0,,,
79,10.0,500,Boundary,13,0.35377358490566035,3.0,0.06640600608440594
79,10.0,500,Unstable,14,0.334841628959276,2.0,0.031758954698843225
80,10.0,500,High certificate,0,,,
80,10.0,500,Boundary,8,0.5730994152046783,1.5,0.06999136937893927
80,10.0,500,Unstable,19,0.44931506849315067,2.0,0.029142132300593898
81,10.0,500,High certificate,0,,,
81,10.0,500,Boundary,3,0.574468085106383,4.0,0.058808562984761274
81,10.0,500,Unstable,24,0.3015075376884422,2.0,0.031490671086843045
82,10.0,500,High certificate,0,,,
82,10.0,500,Boundary,1,0.45,11.0,0.07739119305663035
82,10.0,500,Unstable,26,0.3247058823529412,2.5,0.024332615044170988
83,10.0,500,High certificate,0,,,
83,10.0,500,Boundary,4,0.5151515151515151,4.0,0.07253850835168639
83,10.0,500,Unstable,23,0.3220338983050847,3.0,0.01772912743332019
84,10.0,500,High certificate,0,,,
84,10.0,500,Boundary,4,0.4375,6.0,0.07781299445837905
84,10.0,500,Unstable,23,0.33638443935926776,3.0,0.03154981300108478
85,10.0,500,High certificate,0,,,
85,10.0,500,Boundary,4,0.5068493150684932,4.0,0.09339492865350249
85,10.0,500,Unstable,23,0.24166666666666667,2.0,0.02793003645287172
86,10.0,500,High certificate,0,,,
86,10.0,500,Boundary,8,0.4662576687116564,3.0,0.08539552492027722
86,10.0,500,Unstable,19,0.35014005602240894,2.0,0.030047398114724407
87,10.0,500,High certificate,0,,,
87,10.0,500,Boundary,3,0.55,9.0,0.07589721006209992
87,10.0,500,Unstable,24,0.30971128608923887,2.0,0.02492296421561018
88,10.0,500,High certificate,0,,,
88,10.0,500,Boundary,5,0.3855421686746988,4.0,0.07484237898689738
88,10.0,500,Unstable,22,0.30386740331491713,3.0,0.02730853916045062
89,10.0,500,High certificate,0,,,
89,10.0,500,Boundary,5,0.5918367346938775,8.0,0.05715620821354565
89,10.0,500,Unstable,22,0.40694789081885857,2.0,0.023029889700467536
90,10.0,500,High certificate,0,,,
90,10.0,500,Boundary,12,0.3113207547169811,2.0,0.06490396463859699
90,10.0,500,Unstable,15,0.33771929824561403,4.0,0.02554164793771408
91,10.0,500,High certificate,0,,,
91,10.0,500,Boundary,3,0.66,5.0,0.061929537133404954
91,10.0,500,Unstable,24,0.4204081632653061,2.5,0.024935847290192045
92,10.0,500,High certificate,0,,,
92,10.0,500,Boundary,14,0.6256830601092896,2.5,0.08875567673213008
92,10.0,500,Unstable,13,0.42950819672131146,2.0,0.023416978600948827
93,10.0,500,High certificate,1,0.9285714285714286,9.0,0.20111316447890532
93,10.0,500,Boundary,9,0.4972375690607735,1.0,0.07451931096977576
93,10.0,500,Unstable,17,0.28688524590163933,3.0,0.02968243872533625
94,10.0,500,High certificate,0,,,
94,10.0,500,Boundary,9,0.4378698224852071,4.0,0.07216275689035961
94,10.0,500,Unstable,18,0.28402366863905326,1.0,0.03384648761731362
95,10.0,500,High certificate,0,,,
95,10.0,500,Boundary,6,0.44144144144144143,2.5,0.06014254433752296
95,10.0,500,Unstable,21,0.29608938547486036,1.0,0.031685470001611475
96,10.0,500,High certificate,0,,,
96,10.0,500,Boundary,4,0.5064935064935064,4.0,0.0651787423745668
96,10.0,500,Unstable,23,0.32171581769436997,2.0,0.032244675001061145
97,10.0,500,High certificate,0,,,
97,10.0,500,Boundary,4,0.5416666666666666,4.5,0.05860609138560531
97,10.0,500,Unstable,23,0.44019138755980863,2.0,0.025994052724935605
98,10.0,500,High certificate,0,,,
98,10.0,500,Boundary,2,0.5862068965517241,5.5,0.07853898377388695
98,10.0,500,Unstable,25,0.3880597014925373,2.0,0.01899363781863954
99,10.0,500,High certificate,0,,,
99,10.0,500,Boundary,13,0.5827338129496403,2.0,0.09312703598035886
99,10.0,500,Unstable,14,0.396078431372549,3.0,0.02199556586802682
100,10.0,500,High certificate,0,,,
100,10.0,500,Boundary,10,0.593607305936073,4.0,0.0829604415806623
100,10.0,500,Unstable,17,0.4729064039408867,2.0,0.04254501425357836
101,10.0,500,High certificate,0,,,
101,10.0,500,Boundary,14,0.56875,2.0,0.10674375929851337
101,10.0,500,Unstable,13,0.24369747899159663,4.0,0.031460679163757894
102,10.0,500,High certificate,0,,,
102,10.0,500,Boundary,6,0.632,7.0,0.0609952262979435
102,10.0,500,Unstable,21,0.45618556701030927,1.0,0.025566183329313766
103,10.0,500,High certificate,0,,,
103,10.0,500,Boundary,5,0.5365853658536586,4.0,0.07253287707297933
103,10.0,500,Unstable,22,0.32105263157894737,2.0,0.02466007501061187
104,10.0,500,High certificate,1,0.42857142857142855,10.0,0.17587830409439495
104,10.0,500,Boundary,5,0.6262626262626263,5.0,0.06624449376703567
104,10.0,500,Unstable,21,0.3893129770992366,3.0,0.03155262097374225
105,10.0,500,High certificate,1,0.9333333333333333,12.0,0.17211880693411905
105,10.0,500,Boundary,14,0.4865771812080537,1.5,0.07872501362511153
105,10.0,500,Unstable,12,0.3701923076923077,2.0,0.026190915260118224
106,10.0,500,High certificate,0,,,
106,10.0,500,Boundary,11,0.5023255813953489,2.0,0.06924932059015655
106,10.0,500,Unstable,16,0.5060240963855421,2.5,0.032156315523106146
107,10.0,500,High certificate,0,,,
107,10.0,500,Boundary,2,0.825,8.0,0.09347068166246397
107,10.0,500,Unstable,25,0.3689095127610209,5.0,0.02065056861982883
108,10.0,500,High certificate,0,,,
108,10.0,500,Boundary,8,0.4375,1.0,0.07769149187244898
108,10.0,500,Unstable,19,0.41904761904761906,3.0,0.028158469912877078
109,10.0,500,High certificate,0,,,
109,10.0,500,Boundary,6,0.42735042735042733,3.5,0.06458611571509598
109,10.0,500,Unstable,21,0.31221719457013575,2.0,0.03143456510063299
110,10.0,500,High certificate,0,,,
110,10.0,500,Boundary,5,0.6629213483146067,4.0,0.07898498052146755
110,10.0,500,Unstable,22,0.5023474178403756,3.0,0.025328673413874195
111,10.0,500,High certificate,0,,,
111,10.0,500,Boundary,12,0.5055350553505535,2.0,0.07674144922554824
111,10.0,500,Unstable,15,0.5027027027027027,1.0,0.04115288636070526
112,10.0,500,High certificate,0,,,
112,10.0,500,Boundary,14,0.37209302325581395,2.0,0.06886030143608977
112,10.0,500,Unstable,13,0.3684210526315789,2.0,0.028278480892008285
113,10.0,500,High certificate,1,0.7391304347826086,14.0,0.22988306328614638
113,10.0,500,Boundary,8,0.5602836879432624,6.0,0.08245892815739814
113,10.0,500,Unstable,18,0.35127478753541075,1.0,0.0328161488523036
114,10.0,500,High certificate,0,,,
114,10.0,500,Boundary,7,0.5968992248062015,4.0,0.0764383991545414
114,10.0,500,Unstable,20,0.3524590163934426,2.0,0.029530479164963114
115,10.0,500,High certificate,0,,,
115,10.0,500,Boundary,12,0.5555555555555556,4.0,0.08144637860090213
115,10.0,500,Unstable,15,0.37583892617449666,2.0,0.031321208984489673
116,10.0,500,High certificate,0,,,
116,10.0,500,Boundary,1,0.6,3.0,0.11360659904638394
116,10.0,500,Unstable,26,0.31990521327014215,3.0,0.030783416983067233
117,10.0,500,High certificate,0,,,
117,10.0,500,Boundary,7,0.39655172413793105,6.0,0.07648817509139733
117,10.0,500,Unstable,20,0.18654434250764526,1.0,0.03238505355889969
118,10.0,500,High certificate,0,,,
118,10.0,500,Boundary,6,0.5177304964539007,3.5,0.07879450486069667
118,10.0,500,Unstable,21,0.3226600985221675,2.0,0.02930012305339292
119,10.0,500,High certificate,0,,,
119,10.0,500,Boundary,5,0.4642857142857143,4.0,0.08138892678445421
119,10.0,500,Unstable,22,0.2882882882882883,2.0,0.03066152936778707
